Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-16 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.068","17","177","12.670","2","1","254.477","135.490","216","41.622"
2021-06-16 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.886","23","154","15.315","3","1","263.052","132.872","418","73.532"
2021-06-16 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.389","7","127","14.081","6","1","244.310","92.269","181","82.673"
2021-06-16 18:00:00,"A.S. SANTIAGO E BARBANZA","20.111","9","127","19.631","4","1","368.962","144.966","365","97.213"
2021-06-16 18:00:00,"A.S. VIGO","25.274","11","264","24.579","8","2","518.994","268.844","439","69.709"
2021-06-16 18:00:00,"GALICIA","128.218","113","1.355","124.458","45","16","2.318.614","986.882","2.430","564.820"
2021-06-17 18:00:00,"A.S. A CORUÑA E CEE","30.818","30","431","29.807","19","7","520.738","151.569","595","184.654"
2021-06-17 18:00:00,"A.S. FERROL","8.717","12","96","8.398","4","3","149.412","62.133","217","15.890"
2021-06-17 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.081","14","175","12.685","2","1","254.940","136.267","216","41.833"
2021-06-17 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.894","8","155","15.322","2","1","263.325","132.931","418","73.740"
2021-06-17 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.400","10","117","14.102","7","1","244.564","92.636","181","82.920"
2021-06-17 18:00:00,"A.S. SANTIAGO E BARBANZA","20.118","8","126","19.639","4","1","369.408","146.501","365","97.592"
2021-06-17 18:00:00,"A.S. VIGO","25.277","3","244","24.602","7","2","519.345","269.641","439","69.895"
2021-06-17 18:00:00,"GALICIA","128.305","85","1.344","124.555","45","16","2.321.732","991.678","2.431","566.524"
2021-06-18 18:00:00,"A.S. A CORUÑA E CEE","30.846","26","411","29.853","15","7","521.775","153.465","597","185.048"
2021-06-18 18:00:00,"A.S. FERROL","8.727","10","101","8.403","5","3","149.798","62.154","217","15.960"
2021-06-18 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.085","5","164","12.700","2","1","255.335","136.844","216","41.994"
2021-06-18 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.903","10","150","15.336","3","1","263.751","132.971","418","73.975"
2021-06-18 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.412","11","120","14.111","8","1","244.759","92.937","181","83.148"
2021-06-18 18:00:00,"A.S. SANTIAGO E BARBANZA","20.129","12","121","19.655","4","1","369.734","146.584","365","97.929"
